MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
59057,Burnley,Fulham,1,1,46.0,54.0,3.0,3.0,8.0,8.0,585.0,647.0,400.0,477.0,10.0,14.0,10.0,30.0,5.0,5.0,6.0,0.0,1.0,1.0,7.0,13.0,0.0,0.0
59050,Everton,Man City,1,3,29.6,70.4,2.0,7.0,3.0,16.0,469.0,923.0,313.0,755.0,18.0,11.0,28.0,6.0,0.0,10.0,0.0,0.0,2.0,1.0,8.0,8.0,0.0,0.0
59135,West Ham,Sheffield Utd,3,0,45.9,54.1,9.0,5.0,13.0,8.0,588.0,672.0,429.0,500.0,9.0,18.0,19.0,19.0,7.0,7.0,1.0,1.0,0.0,2.0,11.0,12.0,0.0,0.0
59128,Chelsea,Newcastle,2,0,65.6,34.4,6.0,4.0,18.0,10.0,752.0,482.0,564.0,289.0,19.0,16.0,17.0,18.0,10.0,5.0,0.0,2.0,0.0,0.0,9.0,13.0,0.0,0.0
59126,Arsenal,Leeds,4,2,45.9,54.1,5.0,5.0,13.0,9.0,596.0,655.0,423.0,498.0,5.0,10.0,15.0,9.0,4.0,5.0,2.0,0.0,0.0,2.0,8.0,17.0,0.0,0.0
59130,Everton,Fulham,0,2,49.7,50.3,2.0,3.0,7.0,12.0,700.0,722.0,534.0,545.0,17.0,10.0,14.0,24.0,5.0,4.0,3.0,2.0,1.0,1.0,7.0,16.0,0.0,0.0
59129,Crystal Palace,Burnley,0,3,53.3,46.7,3.0,4.0,13.0,16.0,636.0,577.0,427.0,390.0,16.0,17.0,12.0,22.0,7.0,4.0,3.0,1.0,0.0,0.0,15.0,14.0,0.0,0.0
59132,Man City,Spurs,3,0,60.4,39.6,6.0,3.0,15.0,7.0,876.0,623.0,698.0,456.0,21.0,23.0,7.0,14.0,4.0,2.0,1.0,0.0,1.0,3.0,12.0,13.0,0.0,0.0
59127,Brighton,Aston Villa,0,0,58.2,41.8,9.0,1.0,26.0,4.0,681.0,555.0,509.0,372.0,11.0,10.0,12.0,24.0,9.0,2.0,0.0,3.0,2.0,3.0,16.0,12.0,0.0,0.0
59133,Southampton,Wolves,1,2,51.1,48.9,3.0,4.0,7.0,10.0,660.0,630.0,476.0,448.0,23.0,9.0,15.0,13.0,4.0,6.0,6.0,1.0,2.0,2.0,10.0,9.0,0.0,0.0
59134,West Brom,Man Utd,1,1,26.9,73.1,3.0,7.0,7.0,10.0,432.0,873.0,253.0,707.0,14.0,10.0,29.0,9.0,4.0,5.0,2.0,3.0,5.0,0.0,13.0,10.0,0.0,0.0
59131,Leicester,Liverpool,3,1,38.0,62.0,6.0,4.0,11.0,15.0,585.0,796.0,357.0,561.0,23.0,23.0,38.0,4.0,2.0,12.0,2.0,1.0,1.0,2.0,7.0,6.0,0.0,0.0
59119,Leeds,Crystal Palace,2,0,68.2,31.8,7.0,3.0,17.0,8.0,883.0,501.0,714.0,332.0,22.0,11.0,11.0,18.0,5.0,3.0,1.0,1.0,0.0,2.0,7.0,8.0,0.0,0.0
59120,Liverpool,Man City,1,4,55.9,44.1,3.0,5.0,8.0,8.0,823.0,703.0,649.0,519.0,18.0,20.0,9.0,24.0,6.0,1.0,1.0,2.0,2.0,1.0,13.0,8.0,0.0,0.0
